,alb,ara,chn,deu,ell,eng,fra,fin,hrv,ita,ind,jpn,pol,por,zsm,nld,rus,spa,vnm
Albania,Shqipëria,,,,,Albania,Albanie,,,Albania,,,,,,,,Albania,
Italy,Italia,,,,,Italy,Italie,,,Italia,,,,,,,,Italia,
France,Franca,,,,,France,France,,,Francia,,,,,,,,Francia,
Belgium,Belgjika,,,,,Belgium,Belgique,,,Belgio,,,,,,,,Bélgica,
Portugal,Portugalia,,,,,Portugal,Portugal,,,Portogallo,,,,,,,,Portugal,
Germany,Gjermania,,,,,Germany,Allemagne,,,Germania,,,,,,,,Alemania,
Spain,Spanja,,,,,Spain,Espagne,,,Spagna,,,,,,,,España,
Lebanon,Libani,,,,,Lebanon,Liban,,,Libano,,,,,,,,Líbano,
USA,Shtetet e Bashkuara të Amerikës,,,,,USA,États Unis,,,Stati Uniti,,,,,,,,Estados Unidos,
Netherlands,Hollanda,,,,,Netherlands,Pays-Bas,,,Olanda,,,,,,,,Países Bajos,
UK,Mbretëria e Bashkuar,,,,,United Kingdom,Royaume-Uni,,,Regno Unito,,,,,,,,Reino Unido,
Greece,Greqia,,,,,Greece,Grèce,,,Grecia,,,,,,,,Grecia,
